id,reference,amount,date
1,TXN001,150.00,2024-03-01
2,TXN002,-75.50,2024-03-01
3,TXN003,320.10,2024-03-01
4,TXN004,-12.00,2024-03-01
5,TXN005,500.00,2024-03-01
6,TXN006,80.25,2024-03-02
7,TXN007,-45.00,2024-03-02
8,TXN008,200.00,2024-03-02
9,TXN009,-30.75,2024-03-02
10,TXN010,60.00,2024-03-02
11,TXN011,15.30,2024-03-03
12,TXN012,275.00,2024-03-03
13,TXN013,-90.00,2024-03-03
14,TXN014,40.00,2024-03-03
15,TXN015,-22.50,2024-03-03
16,TXN016,110.00,2024-03-04
17,TXN017,-60.00,2024-03-04
18,TXN018,95.75,2024-03-04
19,TXN019,-15.00,2024-03-04
20,TXN020,300.00,2024-03-04
